iso3_1,iso3_2,climate_similarity
ABW,AFG,5.8605945686218
ABW,AGO,17.6135219527991
ABW,AIA,0
ABW,ALA,0
ABW,ALB,0
ABW,AND,0
ABW,ARE,0
ABW,ARG,8.83726162053545
ABW,ARM,0
ABW,ASM,0
ABW,ATA,0
ABW,ATF,0
ABW,ATG,0
ABW,AUS,22.3568369339596
ABW,AUT,0
ABW,AZE,0
ABW,BDI,0
ABW,BEL,0
ABW,BEN,4.11579440371983
ABW,BFA,52.3664275606641
ABW,BGD,0
ABW,BGR,0
ABW,BHR,0
ABW,BHS,2.02715427810961
ABW,BIH,0
ABW,BLM,0
ABW,BLR,0
ABW,BLZ,0
ABW,BMU,0
ABW,BOL,4.24581029707296
ABW,BRA,6.65614984450419
ABW,BRB,0
ABW,BRN,0
ABW,BTN,0
ABW,BWA,73.0114456214699
ABW,CAF,1.83067082174418
ABW,CAN,0
ABW,CHE,0
ABW,CHL,0
ABW,CHN,0.0115675789329876
ABW,CIV,0
ABW,CMR,4.77612931083492
ABW,COD,0
ABW,COG,0
ABW,COK,0
ABW,COL,0.358814948873723
ABW,COM,0
ABW,CPV,1.07525650171907
ABW,CRI,0
ABW,CUB,0.0494392925830597
ABW,CUW,4.39215620577443
ABW,CYM,0
ABW,CYP,10.0443321748986
ABW,CZE,0
ABW,DEU,0
ABW,DJI,0
ABW,DMA,0
ABW,DNK,0
ABW,DOM,5.02849529413278
ABW,DZA,0.384415656286238
ABW,ECU,4.97318152727172
ABW,EGY,0.0032854941008891
ABW,ERI,26.0848454190525
ABW,ESH,0
ABW,ESP,0.778753759620282
ABW,EST,0
ABW,ETH,21.4485840890534
ABW,FIN,0
ABW,FJI,0
ABW,FLK,0
ABW,FRO,0
ABW,FSM,0
ABW,GAB,0
ABW,GBR,0
ABW,GEO,0
ABW,GGY,0
ABW,GHA,0
ABW,GIN,0
ABW,GMB,71.6403051656793
ABW,GNB,0
ABW,GNQ,0
ABW,GRC,0
ABW,GRD,0
ABW,GRL,0
ABW,GTM,0
ABW,GUM,0
ABW,GUY,0
ABW,HKG,0
ABW,HMD,0
ABW,HND,0
ABW,HRV,0
ABW,HTI,2.25898785458791
ABW,HUN,0
ABW,IDN,0
ABW,IMN,0
ABW,IND,21.627091482422
ABW,IOT,0
ABW,IRL,0
ABW,IRN,8.51655875519179
ABW,IRQ,9.9243089108358
ABW,ISL,0
ABW,ISR,18.4979794731222
ABW,ITA,0
ABW,JAM,0
ABW,JEY,0
ABW,JOR,6.63902617273524
ABW,JPN,0
ABW,KAZ,0
ABW,KEN,34.0978668350448
ABW,KGZ,0
ABW,KHM,0
ABW,KIR,5.85444454392558
ABW,KNA,0
ABW,KOR,0
ABW,KWT,0
ABW,LAO,0
ABW,LBN,0
ABW,LBR,0
ABW,LBY,1.62389304717071
ABW,LCA,0
ABW,LIE,0
ABW,LKA,0
ABW,LSO,0
ABW,LTU,0
ABW,LUX,0
ABW,LVA,0
ABW,MAC,0
ABW,MAF,0
ABW,MAR,9.27237555406839
ABW,MCO,0
ABW,MDA,0
ABW,MDG,11.178963893934
ABW,MEX,20.4047381403688
ABW,MKD,0
ABW,MLI,17.198195356812
ABW,MLT,0
ABW,MMR,0.954935998376951
ABW,MNE,0
ABW,MNG,0
ABW,MNP,0
ABW,MOZ,21.2423583470551
ABW,MRT,0.734375625040705
ABW,MSR,0
ABW,MUS,0
ABW,MWI,1.31408207567163
ABW,MYS,0
ABW,NAM,37.1457495287052
ABW,NCL,0
ABW,NER,6.61731022697514
ABW,NFK,0
ABW,NGA,18.5486808468017
ABW,NIC,0
ABW,NIU,0
ABW,NLD,0.383065003294946
ABW,NPL,0
ABW,NRU,0
ABW,NZL,0
ABW,OMN,0
ABW,PAK,8.81464348167686
ABW,PAN,0
ABW,PCN,0
ABW,PER,0.643096673584536
ABW,PHL,0
ABW,PLW,0
ABW,PNG,0
ABW,POL,0
ABW,PRI,0
ABW,PRK,0
ABW,PRT,0
ABW,PRY,22.2869531754402
ABW,PSE,38.396162181477
ABW,PYF,0
ABW,QAT,0
ABW,ROU,0
ABW,RUS,0
ABW,RWA,0
ABW,SAU,0
ABW,SDN,18.8313781518222
ABW,SEN,53.1378667815867
ABW,SGP,0
ABW,SGS,0
ABW,SHN,0
ABW,SLB,0
ABW,SLE,0
ABW,SLV,0
ABW,SMR,0
ABW,SOM,30.7414035800639
ABW,SPM,0
ABW,SRB,0
ABW,SSD,4.08447070587797
ABW,STP,0
ABW,SUR,0
ABW,SVK,0
ABW,SVN,0
ABW,SWE,0
ABW,SWZ,39.743144621214
ABW,SXM,0
ABW,SYC,0
ABW,SYR,26.2797873097601
ABW,TCA,0
ABW,TCD,16.4374395989147
ABW,TGO,0
ABW,THA,0
ABW,TJK,2.27713023752021
ABW,TKM,4.10549689907991
ABW,TLS,0
ABW,TON,0
ABW,TTO,0
ABW,TUN,6.9054746248113
ABW,TUR,0.400875947160099
ABW,TWN,0
ABW,TZA,15.2754758186126
ABW,UGA,0.493614250741311
ABW,UKR,0
ABW,URY,0
ABW,USA,1.86371517109332
ABW,UZB,0.589000495166476
