"area_code","item_code","Area","Item","share","category"
520,2511,"Nauru","Wheat and products",0.189100168745836,"starch"
584,2511,"Marshall Islands","Wheat and products",0.200900082165177,"starch"
583,2511,"Micronesia (Federated States of)","Wheat and products",0.0994489209965731,"starch"
798,2511,"Tuvalu","Wheat and products",0.169142572129669,"starch"
634,2511,"Qatar","Wheat and products",0.206942423742067,"starch"
520,2807,"Nauru","Rice and products",0.0865777735694648,"starch"
776,2511,"Tonga","Wheat and products",0.249427779381263,"starch"
584,2807,"Marshall Islands","Rice and products",0.109799442272739,"starch"
583,2807,"Micronesia (Federated States of)","Rice and products",0.104184032601649,"starch"
798,2807,"Tuvalu","Rice and products",0.172572406764841,"starch"
520,2513,"Nauru","Barley and products",0.00191741260893237,"starch"
634,2807,"Qatar","Rice and products",0.196645928289037,"starch"
776,2807,"Tonga","Rice and products",0.00199354280075983,"starch"
584,2513,"Marshall Islands","Barley and products",0.000217862211488186,"starch"
798,2513,"Tuvalu","Barley and products",9.23653851482618e-05,"starch"
583,2514,"Micronesia (Federated States of)","Maize and products",6.56046432651045e-05,"starch"
520,2514,"Nauru","Maize and products",9.46870424164133e-05,"starch"
776,2513,"Tonga","Barley and products",3.02051939509065e-05,"starch"
584,2514,"Marshall Islands","Maize and products",0.00490812439309812,"starch"
634,2513,"Qatar","Barley and products",0,"starch"
798,2514,"Tuvalu","Maize and products",0.000107759616006305,"starch"
520,2516,"Nauru","Oats",0.000108213762761615,"starch"
584,2515,"Marshall Islands","Rye and products",0,"starch"
776,2514,"Tonga","Maize and products",0.0119914619985099,"starch"
583,2518,"Micronesia (Federated States of)","Sorghum and products",0.000528696242783489,"starch"
798,2516,"Tuvalu","Oats",2.77096155444785e-05,"starch"
634,2514,"Qatar","Maize and products",0.0105768841340507,"starch"
520,2520,"Nauru","Cereals, other",0.00262418374696917,"starch"
446,2511,"China, Macao SAR","Wheat and products",0.138027898916147,"starch"
584,2516,"Marshall Islands","Oats",0.000351691855688071,"starch"
776,2515,"Tonga","Rye and products",1.67806633060592e-05,"starch"
583,2520,"Micronesia (Federated States of)","Cereals, other",0.000794973912506561,"starch"
634,2515,"Qatar","Rye and products",0,"starch"
174,2511,"Comoros","Wheat and products",0.0664743894286759,"starch"
798,2520,"Tuvalu","Cereals, other",0.00194275193428511,"starch"
584,2517,"Marshall Islands","Millet and products",0,"starch"
624,2511,"Guinea-Bissau","Wheat and products",0.0310859737362272,"starch"
296,2511,"Kiribati","Wheat and products",0.11733945190315,"starch"
776,2516,"Tonga","Oats",0.000342325531443607,"starch"
178,2511,"Congo","Wheat and products",0.143004625041295,"starch"
262,2511,"Djibouti","Wheat and products",0.324005587659213,"starch"
854,2511,"Burkina Faso","Wheat and products",0.034517285558941,"starch"
584,2518,"Marshall Islands","Sorghum and products",0,"starch"
384,2511,"Côte d'Ivoire","Wheat and products",0.0531076524878248,"starch"
116,2511,"Cambodia","Wheat and products",0.00944996180290298,"starch"
266,2511,"Gabon","Wheat and products",0.16385559355374,"starch"
132,2511,"Cabo Verde","Wheat and products",0.115660566796872,"starch"
634,2516,"Qatar","Oats",0.0017882566989529,"starch"
270,2511,"Gambia","Wheat and products",0.120211526696446,"starch"
222,2511,"El Salvador","Wheat and products",0.109974771639843,"starch"
332,2511,"Haiti","Wheat and products",0.151326100986509,"starch"
120,2511,"Cameroon","Wheat and products",0.0797558508453043,"starch"
324,2511,"Guinea","Wheat and products",0.0514895832978792,"starch"
430,2511,"Liberia","Wheat and products",0.0118755677726368,"starch"
180,2511,"Democratic Republic of the Congo","Wheat and products",0.018032827593057,"starch"
344,2511,"China, Hong Kong SAR","Wheat and products",0.143764621066106,"starch"
112,2511,"Belarus","Wheat and products",0.155061593762687,"starch"
258,2511,"French Polynesia","Wheat and products",0.206152938063545,"starch"
288,2511,"Ghana","Wheat and products",0.0352440279438686,"starch"
100,2511,"Bulgaria","Wheat and products",0.188081190545355,"starch"
328,2511,"Guyana","Wheat and products",0.131166915557347,"starch"
242,2511,"Fiji","Wheat and products",0.127285020971052,"starch"
