"area_code","item_code","Area","Item","share","category"
408,2511,"Democratic People's Republic of Korea","Wheat and products",0.0734035197070482,"starch"
192,2511,"Cuba","Wheat and products",0.145333715020947,"starch"
446,2511,"China, Macao SAR","Wheat and products",0.130754197515014,"starch"
408,2807,"Democratic People's Republic of Korea","Rice and products",0.345981164600356,"starch"
174,2511,"Comoros","Wheat and products",0.0617227928044196,"starch"
624,2511,"Guinea-Bissau","Wheat and products",0.017882892048018,"starch"
296,2511,"Kiribati","Wheat and products",0.140982250300842,"starch"
178,2511,"Congo","Wheat and products",0.132018394878768,"starch"
262,2511,"Djibouti","Wheat and products",0.430461560273042,"starch"
854,2511,"Burkina Faso","Wheat and products",0.0234179291710894,"starch"
384,2511,"Côte d'Ivoire","Wheat and products",0.0540818053162687,"starch"
116,2511,"Cambodia","Wheat and products",0.00635073198242925,"starch"
132,2511,"Cabo Verde","Wheat and products",0.112069400312705,"starch"
266,2511,"Gabon","Wheat and products",0.151524140676044,"starch"
270,2511,"Gambia","Wheat and products",0.137403923153491,"starch"
222,2511,"El Salvador","Wheat and products",0.0840192188778233,"starch"
332,2511,"Haiti","Wheat and products",0.0774268051181924,"starch"
120,2511,"Cameroon","Wheat and products",0.0543648625972459,"starch"
324,2511,"Guinea","Wheat and products",0.0510526163379955,"starch"
430,2511,"Liberia","Wheat and products",0.0397595449002927,"starch"
180,2511,"Democratic Republic of the Congo","Wheat and products",0.0285636347664468,"starch"
192,2807,"Cuba","Rice and products",0.201309434763738,"starch"
344,2511,"China, Hong Kong SAR","Wheat and products",0.124719445676854,"starch"
112,2511,"Belarus","Wheat and products",0.138509214533069,"starch"
258,2511,"French Polynesia","Wheat and products",0.172745058262475,"starch"
288,2511,"Ghana","Wheat and products",0.0378387939479699,"starch"
328,2511,"Guyana","Wheat and products",0.1624506585942,"starch"
100,2511,"Bulgaria","Wheat and products",0.284905687586525,"starch"
242,2511,"Fiji","Wheat and products",0.176825905402211,"starch"
124,2511,"Canada","Wheat and products",0.181899774338401,"starch"
308,2511,"Grenada","Wheat and products",0.322021119280195,"starch"
188,2511,"Costa Rica","Wheat and products",0.107332192352647,"starch"
152,2511,"Chile","Wheat and products",0.302512580313768,"starch"
214,2511,"Dominican Republic","Wheat and products",0.0750130877363064,"starch"
352,2511,"Iceland","Wheat and products",0.175274478014018,"starch"
156,2511,"China, mainland","Wheat and products",0.193637389053863,"starch"
170,2511,"Colombia","Wheat and products",0.0781201447251401,"starch"
