Item Group Code,Item Group,Item Code,Item,Factor,category
2905,Cereals - Excluding Beer,2511,Wheat and products,1,starch
2901,Grand Total,2511,Wheat and products,1,starch
2903,Vegetal Products,2511,Wheat and products,1,starch
2905,Cereals - Excluding Beer,2807,Rice and products,1,starch
2901,Grand Total,2807,Rice and products,1,starch
2903,Vegetal Products,2807,Rice and products,1,starch
2905,Cereals - Excluding Beer,2513,Barley and products,1,starch
2901,Grand Total,2513,Barley and products,1,starch
2903,Vegetal Products,2513,Barley and products,1,starch
2905,Cereals - Excluding Beer,2514,Maize and products,1,starch
2901,Grand Total,2514,Maize and products,1,starch
2903,Vegetal Products,2514,Maize and products,1,starch
2905,Cereals - Excluding Beer,2515,Rye and products,1,starch
2901,Grand Total,2515,Rye and products,1,starch
2903,Vegetal Products,2515,Rye and products,1,starch
2905,Cereals - Excluding Beer,2516,Oats,1,starch
2901,Grand Total,2516,Oats,1,starch
2903,Vegetal Products,2516,Oats,1,starch
2905,Cereals - Excluding Beer,2517,Millet and products,1,starch
2901,Grand Total,2517,Millet and products,1,starch
2903,Vegetal Products,2517,Millet and products,1,starch
2905,Cereals - Excluding Beer,2518,Sorghum and products,1,starch
2901,Grand Total,2518,Sorghum and products,1,starch
2903,Vegetal Products,2518,Sorghum and products,1,starch
2905,Cereals - Excluding Beer,2520,"Cereals, other",1,starch
2901,Grand Total,2520,"Cereals, other",1,starch
2903,Vegetal Products,2520,"Cereals, other",1,starch
2901,Grand Total,2532,Cassava and products,1,starch
2907,Starchy Roots,2532,Cassava and products,1,starch
2903,Vegetal Products,2532,Cassava and products,1,starch
2901,Grand Total,2531,Potatoes and products,1,starch
2907,Starchy Roots,2531,Potatoes and products,1,starch
2903,Vegetal Products,2531,Potatoes and products,1,starch
2901,Grand Total,2533,Sweet potatoes,1,starch
2907,Starchy Roots,2533,Sweet potatoes,1,starch
2903,Vegetal Products,2533,Sweet potatoes,1,starch
2901,Grand Total,2535,Yams,1,starch
2907,Starchy Roots,2535,Yams,1,starch
2903,Vegetal Products,2535,Yams,1,starch
2901,Grand Total,2534,"Roots, Other",1,starch
2907,Starchy Roots,2534,"Roots, Other",1,starch
2903,Vegetal Products,2534,"Roots, Other",1,starch
2901,Grand Total,2536,Sugar cane,1,vegetal_products
2908,Sugar Crops,2536,Sugar cane,1,vegetal_products
2903,Vegetal Products,2536,Sugar cane,1,vegetal_products
2901,Grand Total,2537,Sugar beet,1,vegetal_products
2908,Sugar Crops,2537,Sugar beet,1,vegetal_products
2903,Vegetal Products,2537,Sugar beet,1,vegetal_products
2901,Grand Total,2541,Sugar non-centrifugal,1,vegetal_products
2909,Sugar & Sweeteners,2541,Sugar non-centrifugal,1,vegetal_products
2903,Vegetal Products,2541,Sugar non-centrifugal,1,vegetal_products
2901,Grand Total,2542,Sugar (Raw Equivalent),1,vegetal_products
2909,Sugar & Sweeteners,2542,Sugar (Raw Equivalent),1,vegetal_products
2903,Vegetal Products,2542,Sugar (Raw Equivalent),1,vegetal_products
2901,Grand Total,2543,"Sweeteners, Other",1,vegetal_products
2909,Sugar & Sweeteners,2543,"Sweeteners, Other",1,vegetal_products
2903,Vegetal Products,2543,"Sweeteners, Other",1,vegetal_products
2901,Grand Total,2745,Honey,1,vegetal_products
2909,Sugar & Sweeteners,2745,Honey,1,vegetal_products
2903,Vegetal Products,2745,Honey,1,vegetal_products
2901,Grand Total,2546,Beans,1,vegetal_products
2911,Pulses,2546,Beans,1,vegetal_products
2903,Vegetal Products,2546,Beans,1,vegetal_products
2901,Grand Total,2547,Peas,1,vegetal_products
2911,Pulses,2547,Peas,1,vegetal_products
2903,Vegetal Products,2547,Peas,1,vegetal_products
2901,Grand Total,2549,"Pulses, Other and products",1,vegetal_products
2911,Pulses,2549,"Pulses, Other and products",1,vegetal_products
2903,Vegetal Products,2549,"Pulses, Other and products",1,vegetal_products
2901,Grand Total,2551,Nuts and products,1,vegetal_products
2912,Treenuts,2551,Nuts and products,1,vegetal_products
2903,Vegetal Products,2551,Nuts and products,1,vegetal_products
2901,Grand Total,2555,Soyabeans,1,vegetal_products
2913,Oilcrops,2555,Soyabeans,1,vegetal_products
2903,Vegetal Products,2555,Soyabeans,1,vegetal_products
2901,Grand Total,2552,Groundnuts,1,vegetal_products
2913,Oilcrops,2552,Groundnuts,1,vegetal_products
2903,Vegetal Products,2552,Groundnuts,1,vegetal_products
2901,Grand Total,2557,Sunflower seed,1,vegetal_products
2913,Oilcrops,2557,Sunflower seed,1,vegetal_products
2903,Vegetal Products,2557,Sunflower seed,1,vegetal_products
2901,Grand Total,2558,Rape and Mustardseed,1,vegetal_products
2913,Oilcrops,2558,Rape and Mustardseed,1,vegetal_products
2903,Vegetal Products,2558,Rape and Mustardseed,1,vegetal_products
2901,Grand Total,2559,Cottonseed,1,vegetal_products
2913,Oilcrops,2559,Cottonseed,1,vegetal_products
2903,Vegetal Products,2559,Cottonseed,1,vegetal_products
2901,Grand Total,2560,Coconuts - Incl Copra,1,vegetal_products
2913,Oilcrops,2560,Coconuts - Incl Copra,1,vegetal_products
2903,Vegetal Products,2560,Coconuts - Incl Copra,1,vegetal_products
2901,Grand Total,2561,Sesame seed,1,vegetal_products
2913,Oilcrops,2561,Sesame seed,1,vegetal_products
2903,Vegetal Products,2561,Sesame seed,1,vegetal_products
2901,Grand Total,2562,Palm kernels,1,vegetal_products
2913,Oilcrops,2562,Palm kernels,1,vegetal_products
2903,Vegetal Products,2562,Palm kernels,1,vegetal_products
2901,Grand Total,2563,Olives (including preserved),1,vegetal_products
2913,Oilcrops,2563,Olives (including preserved),1,vegetal_products
2903,Vegetal Products,2563,Olives (including preserved),1,vegetal_products
2901,Grand Total,2570,"Oilcrops, Other",1,vegetal_products
2913,Oilcrops,2570,"Oilcrops, Other",1,vegetal_products
2903,Vegetal Products,2570,"Oilcrops, Other",1,vegetal_products
2901,Grand Total,2571,Soyabean Oil,1,vegetal_products
2914,Vegetable Oils,2571,Soyabean Oil,1,vegetal_products
2903,Vegetal Products,2571,Soyabean Oil,1,vegetal_products
2901,Grand Total,2572,Groundnut Oil,1,vegetal_products
2914,Vegetable Oils,2572,Groundnut Oil,1,vegetal_products
2903,Vegetal Products,2572,Groundnut Oil,1,vegetal_products
2901,Grand Total,2573,Sunflowerseed Oil,1,vegetal_products
2914,Vegetable Oils,2573,Sunflowerseed Oil,1,vegetal_products
2903,Vegetal Products,2573,Sunflowerseed Oil,1,vegetal_products
2901,Grand Total,2574,Rape and Mustard Oil,1,vegetal_products
2914,Vegetable Oils,2574,Rape and Mustard Oil,1,vegetal_products
2903,Vegetal Products,2574,Rape and Mustard Oil,1,vegetal_products
2901,Grand Total,2575,Cottonseed Oil,1,vegetal_products
2914,Vegetable Oils,2575,Cottonseed Oil,1,vegetal_products
2903,Vegetal Products,2575,Cottonseed Oil,1,vegetal_products
2901,Grand Total,2576,Palmkernel Oil,1,vegetal_products
2914,Vegetable Oils,2576,Palmkernel Oil,1,vegetal_products
2903,Vegetal Products,2576,Palmkernel Oil,1,vegetal_products
2901,Grand Total,2577,Palm Oil,1,vegetal_products
2914,Vegetable Oils,2577,Palm Oil,1,vegetal_products
2903,Vegetal Products,2577,Palm Oil,1,vegetal_products
2901,Grand Total,2578,Coconut Oil,1,vegetal_products
2914,Vegetable Oils,2578,Coconut Oil,1,vegetal_products
2903,Vegetal Products,2578,Coconut Oil,1,vegetal_products
2901,Grand Total,2579,Sesameseed Oil,1,vegetal_products
2914,Vegetable Oils,2579,Sesameseed Oil,1,vegetal_products
2903,Vegetal Products,2579,Sesameseed Oil,1,vegetal_products
2901,Grand Total,2580,Olive Oil,1,vegetal_products
2914,Vegetable Oils,2580,Olive Oil,1,vegetal_products
2903,Vegetal Products,2580,Olive Oil,1,vegetal_products
2901,Grand Total,2581,Ricebran Oil,1,vegetal_products
2914,Vegetable Oils,2581,Ricebran Oil,1,vegetal_products
2903,Vegetal Products,2581,Ricebran Oil,1,vegetal_products
2901,Grand Total,2582,Maize Germ Oil,1,vegetal_products
2914,Vegetable Oils,2582,Maize Germ Oil,1,vegetal_products
2903,Vegetal Products,2582,Maize Germ Oil,1,vegetal_products
2901,Grand Total,2586,"Oilcrops Oil, Other",1,vegetal_products
2914,Vegetable Oils,2586,"Oilcrops Oil, Other",1,vegetal_products
2903,Vegetal Products,2586,"Oilcrops Oil, Other",1,vegetal_products
2901,Grand Total,2601,Tomatoes and products,1,vegetal_products
2918,Vegetables,2601,Tomatoes and products,1,vegetal_products
2903,Vegetal Products,2601,Tomatoes and products,1,vegetal_products
2901,Grand Total,2602,Onions,1,vegetal_products
2918,Vegetables,2602,Onions,1,vegetal_products
2903,Vegetal Products,2602,Onions,1,vegetal_products
2901,Grand Total,2605,"Vegetables, other",1,vegetal_products
2918,Vegetables,2605,"Vegetables, other",1,vegetal_products
2903,Vegetal Products,2605,"Vegetables, other",1,vegetal_products
2919,Fruits - Excluding Wine,2611,"Oranges, Mandarines",1,vegetal_products
2901,Grand Total,2611,"Oranges, Mandarines",1,vegetal_products
2903,Vegetal Products,2611,"Oranges, Mandarines",1,vegetal_products
2919,Fruits - Excluding Wine,2612,"Lemons, Limes and products",1,vegetal_products
2901,Grand Total,2612,"Lemons, Limes and products",1,vegetal_products
2903,Vegetal Products,2612,"Lemons, Limes and products",1,vegetal_products
2919,Fruits - Excluding Wine,2613,Grapefruit and products,1,vegetal_products
2901,Grand Total,2613,Grapefruit and products,1,vegetal_products
2903,Vegetal Products,2613,Grapefruit and products,1,vegetal_products
